id,host_id,host_name,host_is_superhost,host_identity_verified,latitude,longitude,neighbourhood_cleansed,price,property_type,room_type,accommodates,bedrooms,bathrooms,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating,availability_365,number_of_reviews,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
35424613,28148963,Alysson,f,t,52.32588,4.88259,Buitenveldert - Zuidas,$79.00,Apartment,Entire home/apt,2,0,1,,$200.00,$15.00,2,$30.00,3,15,,42,2,f,strict_14_with_grace_period,f,f
35436290,2917767,Angie,f,f,52.33854,4.92103,Watergraafsmeer,$71.00,Apartment,Entire home/apt,3,1,1.5,,$150.00,$35.00,2,$10.00,1,1125,80,0,10,t,strict_14_with_grace_period,f,f
35440146,163789665,Adam,f,f,52.36502,4.8929,Centrum-Oost,$128.00,Bed and breakfast,Private room,4,2,1,,$0.00,$0.00,2,$0.00,1,1125,100,308,1,t,strict_14_with_grace_period,f,f
35440735,163789665,Adam,f,f,52.36849,4.88828,Centrum-West,$119.00,Bed and breakfast,Private room,4,1,1,,$0.00,$0.00,2,$0.00,1,1125,40,299,1,t,strict_14_with_grace_period,f,f
35441254,163789665,Adam,f,f,52.3556,4.88846,De Pijp - Rivierenbuurt,$124.00,Bed and breakfast,Private room,4,1,1,,$0.00,$0.00,2,$0.00,1,1125,,324,0,t,strict_14_with_grace_period,f,f
35441889,163789665,Adam,f,f,52.3649,4.894,Centrum-Oost,$114.00,Bed and breakfast,Private room,4,1,1,,$0.00,$80.00,2,$0.00,1,1125,,329,0,t,strict_14_with_grace_period,f,f
35441904,163789665,Adam,f,f,52.35622,4.88734,De Pijp - Rivierenbuurt,$112.00,Bed and breakfast,Private room,4,1,1,,$0.00,$0.00,2,$0.00,1,1125,,306,0,t,strict_14_with_grace_period,f,f
35447962,37045178,Louise,f,f,52.35925,4.94102,Oostelijk Havengebied - Indische Buurt,$65.00,Apartment,Private room,2,1,1,,$0.00,$8.00,1,$10.00,1,1,90,55,2,t,flexible,f,f
35448720,699671,Mathys,f,t,52.36442,4.90183,Centrum-Oost,$280.00,Houseboat,Entire home/apt,4,1,1,,$750.00,$65.00,2,$30.00,2,180,100,34,12,f,strict_14_with_grace_period,f,f
35452931,83277030,Ruben,f,f,52.37818,4.84874,Bos en Lommer,$130.00,Apartment,Entire home/apt,2,1,1,,,,1,$0.00,4,1125,,0,0,t,strict_14_with_grace_period,f,f
35453629,266754878,Jessica,f,f,52.37627,4.8619,Bos en Lommer,$120.00,Apartment,Entire home/apt,2,1,1,,$250.00,$45.00,1,$0.00,2,1125,100,0,2,f,strict_14_with_grace_period,f,f
35455613,4070804,Austin,f,t,52.35502,4.85678,Zuid,$102.00,Apartment,Private room,2,1,1,,,,1,$0.00,1,1125,100,1,1,t,strict_14_with_grace_period,f,f
35458430,35459229,Inés,f,t,52.36933,4.86222,De Baarsjes - Oud-West,$225.00,Townhouse,Entire home/apt,4,2,1.5,,$0.00,$45.00,4,$30.00,3,29,,12,0,f,flexible,f,f
35464664,108980765,Olivia,f,f,52.32721,4.87533,Buitenveldert - Zuidas,$63.00,Apartment,Entire home/apt,2,1,1,,$0.00,$50.00,1,$15.00,1,1125,,13,0,t,flexible,f,f
35473174,47360659,Sascha,f,f,52.40156,4.91295,Noord-West,$500.00,House,Entire home/apt,4,4,2.5,,$250.00,$120.00,1,$0.00,2,22,100,0,2,t,strict_14_with_grace_period,f,f
35476750,26983274,Sanne,f,t,52.35773,4.93337,Oud-Oost,$129.00,Apartment,Entire home/apt,2,2,1,,$250.00,$50.00,1,$0.00,2,1125,100,16,2,f,strict_14_with_grace_period,f,f
35476830,5516596,Joris,f,t,52.36544,4.83701,Slotervaart,$120.00,Apartment,Entire home/apt,2,1,1,,,$30.00,1,$0.00,3,1125,100,4,4,f,strict_14_with_grace_period,f,f
35477407,266916967,Mary,f,f,52.36495,4.94452,Oostelijk Havengebied - Indische Buurt,$180.00,Apartment,Entire home/apt,2,1,1,,$200.00,$50.00,1,$25.00,2,1125,100,15,3,t,strict_14_with_grace_period,f,f
